ihp_cluster,ihg_0,ihg_1,ihg_2,ihg_3,ihg_4,ihg_5,ihg_6,ihg_7,ihg_8,ihg_9,ihg_10,ihg_11,ihg_12,ihg_13,ihg_14,ihg_15,ihg_16,ihg_17,ihg_18,ihg_19,ihg_20,ihg_21,ihg_22,ihg_23,ihg_24,ihg_25,ihg_26,ihg_27,ihg_28,ihg_29,ihg_30,ihg_31,ihg_32,ihg_33,ihg_34,ihg_35,ihg_36,ihg_37,ihg_38,ihg_39,ihg_40,ihg_41,ihg_42,ihg_43,ihg_44,ihg_45,ihg_46,ihg_47,ihg_48,ihg_49,ihg_50,ihg_51,ihg_52,ihg_53,ihg_54,ihg_55,ihg_56,ihg_57,ihg_58,ihg_59,ihg_60,ihg_61,ihg_62,ihg_63,ihg_64,ihg_65,ihg_66,ihg_67,ihg_68,ihg_69,ihg_70,ihg_71,ihg_72,ihg_73,ihg_74,ihg_75,ihg_76,ihg_77,ihg_78,ihg_79,ihg_80,ihg_81,ihg_82,ihg_83,ihg_84,ihg_85,ihg_86,ihg_87,ihg_88,ihg_89,ihg_90,ihg_91,ihg_92,ihg_93,ihg_94,ihg_95,ihg_96,ihg_97,ihg_98,ihg_99,ihg_100,ihg_101,ihg_102,ihg_103,ihg_104,ihg_105,ihg_106,ihg_107,ihg_108,ihg_109,ihg_110,ihg_111,ihg_112,ihg_113,ihg_114,ihg_115,ihg_116,ihg_117,ihg_118,ihg_119,ihg_120,ihg_121,ihg_122,ihg_123,ihg_124,ihg_125,ihg_126,ihg_127
10,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,4.0,1.0,3.0,23.0,0.0,0.0,1.0,4.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,44.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,9.0,0.0,0.0,0.0,501.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,148.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,0.0,1.0,0.0,0.0,30.0,2.0,24.0,0.0,8.0,0.0,3.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0
11,1.0,0.0,9.0,17.0,0.0,4.0,5.0,0.0,0.0,0.0,1.0,1.0,41.0,0.0,1.0,0.0,2.0,42.0,2.0,11.0,23.0,2.0,0.0,0.0,7.0,40.0,0.0,59.0,1.0,0.0,0.0,1.0,0.0,38.0,2.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,1.0,52.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,71.0,0.0,0.0,0.0,18.0,13.0,3.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,2.0,0.0,0.0,22.0,0.0,7.0,33.0,0.0,0.0,27.0,5.0,116.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,31.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,87.0
12,1.0,0.0,5.0,2.0,0.0,0.0,17.0,2.0,1.0,0.0,1.0,1.0,35.0,1.0,0.0,3.0,18.0,0.0,0.0,131.0,15.0,0.0,0.0,0.0,81.0,2.0,2.0,65.0,0.0,0.0,0.0,1.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,2.0,0.0,11.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,4.0,0.0,147.0,0.0,10.0,0.0,12.0,1.0,2.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,2.0,4.0,0.0,7.0,0.0,1.0,96.0,0.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,7.0,0.0,0.0,14.0,55.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,6.0
13,14.0,2.0,103.0,200.0,0.0,9.0,109.0,0.0,1.0,0.0,2.0,13.0,26.0,7.0,4.0,8.0,5.0,1.0,67.0,18.0,64.0,22.0,0.0,0.0,79.0,12.0,5.0,171.0,29.0,0.0,7.0,0.0,0.0,41.0,9.0,1.0,0.0,1.0,0.0,10.0,2.0,16.0,4.0,1.0,21.0,1.0,1.0,1.0,9.0,2.0,4.0,2.0,49.0,4.0,2.0,156.0,1.0,0.0,4.0,7.0,0.0,4.0,1.0,17.0,0.0,48.0,0.0,0.0,6.0,18.0,2.0,58.0,0.0,2.0,1.0,11.0,136.0,5.0,0.0,9.0,3.0,9.0,22.0,0.0,1.0,20.0,0.0,1.0,6.0,4.0,1.0,0.0,28.0,29.0,0.0,4.0,1.0,1.0,0.0,0.0,68.0,6.0,3.0,117.0,0.0,0.0,212.0,3.0,16.0,53.0,7.0,1.0,8.0,5.0,2.0,0.0,46.0,237.0,60.0,0.0,1.0,0.0,2.0,1.0,0.0,6.0,0.0,116.0
14,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,26.0,20.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,17.0,5.0,1.0,3.0,0.0,5.0,0.0,32.0,0.0,0.0,12.0,2.0,0.0,17.0,29.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,38.0,1.0,9.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,5.0,14.0,0.0,1.0,0.0,14.0,7.0,7.0,0.0,10.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,38.0,0.0,4.0,4.0,0.0,0.0,35.0,3.0,4.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,4.0,0.0,0.0,7.0,2.0,0.0,34.0,1.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,15.0,0.0,3.0
15,3.0,0.0,1.0,0.0,1.0,1.0,13.0,2.0,1.0,11.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,7.0,1.0,1.0,2.0,35.0,2.0,0.0,4.0,5.0,0.0,18.0,1.0,0.0,0.0,27.0,0.0,28.0,56.0,3.0,19.0,53.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,12.0,0.0,1.0,8.0,1.0,14.0,2.0,0.0,0.0,3.0,2.0,4.0,1.0,0.0,0.0,19.0,26.0,2.0,0.0,8.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0,1.0,3.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,32.0,0.0,13.0,4.0,1.0,15.0,28.0,0.0,5.0,3.0,8.0,0.0,33.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,35.0,4.0,0.0,0.0,5.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0
16,8.0,1.0,0.0,1.0,4.0,21.0,114.0,0.0,0.0,19.0,77.0,0.0,0.0,0.0,3.0,1.0,32.0,0.0,17.0,1.0,4.0,380.0,2.0,2.0,2.0,1.0,23.0,3.0,181.0,0.0,3.0,9.0,0.0,3.0,50.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,6.0,51.0,65.0,9.0,14.0,0.0,1.0,13.0,5.0,1.0,5.0,2.0,135.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,98.0,5.0,29.0,1.0,152.0,1.0,1.0,1.0,4.0,10.0,0.0,0.0,5.0,3.0,8.0,62.0,31.0,5.0,0.0,14.0,69.0,21.0,0.0,20.0,51.0,1.0,0.0,235.0,1.0,6.0,1.0,3.0,0.0,0.0,0.0,3.0,21.0,17.0,3.0,0.0,1.0,4.0,52.0,0.0,16.0,158.0,11.0,0.0,0.0,39.0,0.0,2.0,1.0,1.0,1.0,4.0,1.0,7.0,0.0,0.0,64.0,1.0,1.0
17,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,10.0,0.0,11.0,24.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,3.0,7.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,3.0,9.0,4.0,0.0,57.0,3.0,1.0,73.0,79.0,0.0,0.0,16.0,0.0,7.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,58.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,38.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,1.0,27.0,10.0,57.0,44.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,25.0,9.0,1.0,44.0,0.0,4.0,0.0,1.0,0.0,1.0,21.0,0.0,12.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,30.0,2.0,0.0,2.0,0.0,2.0,41.0,24.0,0.0,0.0,52.0,2.0,2.0,10.0,0.0
19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,7.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,2.0,0.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,46.0,9.0,2.0,0.0,1.0,10.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,2.0,5.0,0.0,0.0,3.0
20,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,13.0,1.0,1.0,0.0,10.0,3.0,2.0,5.0,0.0,1.0,19.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,2.0,6.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,37.0,1.0,1.0,0.0,0.0,24.0,6.0,0.0,12.0,15.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,14.0,0.0,1.0
21,144.0,9.0,19.0,20.0,48.0,52.0,97.0,3.0,39.0,0.0,1.0,23.0,4.0,69.0,37.0,23.0,5.0,3.0,129.0,1.0,0.0,9.0,5.0,0.0,3.0,0.0,1.0,8.0,9.0,14.0,35.0,0.0,0.0,4.0,6.0,1.0,5.0,20.0,1.0,0.0,54.0,6.0,16.0,17.0,9.0,0.0,14.0,2.0,13.0,0.0,0.0,8.0,101.0,3.0,5.0,133.0,12.0,16.0,85.0,7.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,97.0,0.0,9.0,8.0,40.0,27.0,2.0,6.0,27.0,5.0,0.0,3.0,6.0,40.0,6.0,53.0,111.0,15.0,0.0,124.0,2.0,5.0,0.0,0.0,11.0,7.0,0.0,1.0,73.0,207.0,1.0,9.0,8.0,21.0,0.0,75.0,0.0,2.0,8.0,2.0,8.0,44.0,10.0,1.0,191.0,86.0,0.0,14.0,200.0,4.0,15.0,48.0,16.0,0.0,12.0,0.0,4.0,5.0,74.0,5.0
22,1.0,0.0,47.0,25.0,0.0,4.0,5.0,0.0,0.0,0.0,4.0,1.0,41.0,0.0,0.0,3.0,23.0,3.0,1.0,51.0,95.0,6.0,0.0,0.0,118.0,0.0,2.0,244.0,1.0,0.0,0.0,3.0,0.0,157.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,12.0,134.0,0.0,2.0,0.0,1.0,0.0,0.0,8.0,41.0,1.0,0.0,0.0,42.0,3.0,5.0,0.0,13.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,113.0,1.0,2.0,1.0,0.0,0.0,0.0,64.0,1.0,0.0,9.0,0.0,0.0,63.0,5.0,17.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,66.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,139.0
23,1.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,37.0,109.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,190.0,0.0,1.0,1.0,0.0,31.0,4.0,38.0,0.0,0.0,36.0,0.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,58.0,11.0,51.0,0.0,3.0,18.0,3.0,0.0,1.0,6.0,1.0,0.0,10.0,0.0,0.0,7.0,3.0,0.0,8.0,3.0,14.0,0.0,180.0,0.0,48.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,72.0,0.0,1.0,0.0,2.0,18.0,18.0,0.0,1.0,26.0,2.0,0.0,1.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,4.0,3.0,1.0,30.0,2.0,0.0,192.0,0.0,0.0,1.0,35.0,0.0,0.0,1.0,2.0,0.0,7.0,3.0,1.0,0.0,2.0,17.0,0.0,0.0
